state,year,condition,instrument,measure,question_id,orientation,strat_category,strat_group,value,ci_lo,ci_hi,unit,suppressed,no_data,caution,footnote_symbol,footnote
ND,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.2,9.1,11.3,%,False,False,False,,
NE,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.7,8.0,9.4,%,False,False,False,,
NE,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.2,7.5,9.0,%,False,False,False,,
NE,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.9,8.2,9.6,%,False,False,False,,
NE,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.2,7.3,9.2,%,False,False,False,,
NE,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.7,8.0,9.4,%,False,False,False,,
NH,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.0,10.7,13.4,%,False,False,False,,
NH,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.5,11.3,13.8,%,False,False,False,,
NH,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,13.1,11.8,14.6,%,False,False,False,,
NH,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,13.5,12.1,15.0,%,False,False,False,,
NH,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,12.4,11.1,14.0,%,False,False,False,,
NJ,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,,,,%,False,True,False,*,No data available
NJ,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.4,8.7,10.2,%,False,False,False,,
NJ,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.0,9.0,11.0,%,False,False,False,,
NJ,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.8,8.0,9.7,%,False,False,False,,
NJ,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.5,7.7,9.4,%,False,False,False,,
NM,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.2,8.2,10.3,%,False,False,False,,
NM,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.5,9.4,11.8,%,False,False,False,,
NM,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.1,10.1,12.3,%,False,False,False,,
NM,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.5,9.3,11.8,%,False,False,False,,
