LocationAbbr,YearStart,Topic,hospitalization,mortality,prevalence,hospitalization_lo,mortality_lo,prevalence_lo,hospitalization_hi,mortality_hi,prevalence_hi
GA,2022,Chronic Obstructive Pulmonary Disease,6.85,108.9,6.6,6.66,105.7,6.0,7.03,112.1,7.3
GA,2022,Diabetes,,83.1,11.0,,81.5,10.3,,84.8,11.9
GA,2023,Asthma,,,9.4,,,8.4,,,10.4
GA,2023,Cardiovascular Disease,,,33.1,,,31.8,,,34.5
GA,2023,Chronic Obstructive Pulmonary Disease,,,5.6,,,5.0,,,6.3
GA,2023,Diabetes,,,11.5,,,10.7,,,12.3
GU,2019,Asthma,,,5.5,,,4.0,,,7.4
GU,2019,Cardiovascular Disease,,,33.3,,,30.6,,,36.0
GU,2019,Chronic Obstructive Pulmonary Disease,,,3.4,,,2.5,,,4.5
GU,2019,Diabetes,,,13.5,,,11.7,,,15.5
GU,2020,Asthma,,,5.5,,,4.0,,,7.7
GU,2020,Chronic Obstructive Pulmonary Disease,,,3.7,,,2.6,,,5.4
GU,2020,Diabetes,,,16.2,,,13.5,,,19.3
GU,2021,Asthma,,,5.0,,,3.7,,,6.7
GU,2021,Cardiovascular Disease,,,29.0,,,25.5,,,32.7
GU,2021,Diabetes,,,12.5,,,9.7,,,16.1
GU,2022,Asthma,,,6.8,,,5.0,,,9.2
GU,2022,Chronic Obstructive Pulmonary Disease,,,5.5,,,3.4,,,8.6
GU,2022,Diabetes,,,21.5,,,18.3,,,25.2
GU,2023,Asthma,,,6.1,,,4.4,,,8.4
GU,2023,Cardiovascular Disease,,,33.4,,,30.0,,,37.0
GU,2023,Chronic Obstructive Pulmonary Disease,,,3.4,,,2.5,,,4.7
GU,2023,Diabetes,,,16.2,,,13.8,,,18.9
HI,2019,Asthma,,1.4,10.5,,0.9,9.5,,2.1,11.5
HI,2019,Cardiovascular Disease,19.96,120.3,27.7,19.15,115.4,26.5,20.77,125.2,29.0
HI,2019,Chronic Obstructive Pulmonary Disease,5.51,44.5,4.0,5.08,39.6,3.4,5.93,49.5,4.6
HI,2019,Diabetes,,56.4,9.3,,52.9,8.6,,59.8,10.1
HI,2020,Asthma,,1.7,9.1,,1.1,8.2,,2.5,10.0
HI,2020,Cardiovascular Disease,15.93,125.0,,15.21,120.1,,16.66,130.0,
HI,2020,Chronic Obstructive Pulmonary Disease,2.98,43.9,3.2,2.67,39.1,2.7,3.29,48.7,3.7
HI,2020,Diabetes,,62.2,9.5,,58.7,8.7,,65.8,10.4
HI,2021,Asthma,,1.4,8.5,,0.9,7.7,,2.1,9.5
HI,2021,Cardiovascular Disease,17.92,126.5,26.4,17.16,121.5,25.2,18.69,131.4,27.7
HI,2021,Chronic Obstructive Pulmonary Disease,3.01,46.0,3.0,2.69,41.0,2.5,3.32,50.9,3.4
HI,2021,Diabetes,,66.9,8.1,,63.3,7.4,,70.6,9.0
HI,2022,Asthma,,1.3,9.3,,0.8,8.3,,1.9,10.3
HI,2022,Cardiovascular Disease,17.19,128.4,,16.44,123.6,,17.93,133.3,
HI,2022,Chronic Obstructive Pulmonary Disease,3.6,38.8,3.0,3.26,34.5,2.6,3.94,43.1,3.5
