LocationAbbr,YearStart,Topic,hospitalization,mortality,prevalence,hospitalization_lo,mortality_lo,prevalence_lo,hospitalization_hi,mortality_hi,prevalence_hi
VA,2023,Chronic Obstructive Pulmonary Disease,,,6.3,,,5.5,,,7.2
VA,2023,Diabetes,,,10.4,,,9.5,,,11.4
VI,2021,Asthma,,,5.8,,,4.0,,,8.3
VI,2021,Cardiovascular Disease,,,29.5,,,25.0,,,34.4
VI,2021,Diabetes,,,13.1,,,8.8,,,19.1
VI,2022,Asthma,,,10.7,,,6.4,,,17.3
VI,2022,Chronic Obstructive Pulmonary Disease,,,1.0,,,0.6,,,1.6
VI,2022,Diabetes,,,12.5,,,9.4,,,16.5
VI,2023,Asthma,,,5.7,,,3.7,,,8.8
VI,2023,Cardiovascular Disease,,,30.4,,,27.1,,,33.9
VI,2023,Chronic Obstructive Pulmonary Disease,,,2.3,,,1.5,,,3.5
VI,2023,Diabetes,,,12.2,,,10.3,,,14.4
VT,2019,Asthma,,,12.7,,,11.4,,,14.2
VT,2019,Cardiovascular Disease,12.71,151.6,26.8,12.01,143.4,25.3,13.42,159.9,28.3
VT,2019,Chronic Obstructive Pulmonary Disease,4.29,100.7,5.7,3.89,89.6,5.0,4.69,111.8,6.5
VT,2019,Diabetes,,83.3,7.4,,77.2,6.6,,89.4,8.4
VT,2020,Asthma,,,12.2,,,10.9,,,13.6
VT,2020,Cardiovascular Disease,11.32,167.1,,10.65,158.5,,11.98,175.7,
VT,2020,Chronic Obstructive Pulmonary Disease,2.72,100.7,5.2,2.4,89.7,4.6,3.04,111.7,5.9
VT,2020,Diabetes,,98.0,6.8,,91.4,6.1,,104.6,7.7
VT,2021,Asthma,,,13.0,,,11.7,,,14.4
VT,2021,Cardiovascular Disease,12.09,175.7,26.2,11.4,166.9,24.8,12.79,184.6,27.7
VT,2021,Chronic Obstructive Pulmonary Disease,2.93,86.2,5.7,2.6,76.1,5.0,3.26,96.3,6.5
VT,2021,Diabetes,,101.5,7.2,,94.8,6.4,,108.2,8.0
VT,2022,Asthma,,,13.3,,,12.2,,,14.4
VT,2022,Cardiovascular Disease,13.65,165.1,,12.9,156.8,,14.41,173.4,
VT,2022,Chronic Obstructive Pulmonary Disease,2.94,80.9,5.9,2.6,71.3,5.3,3.28,90.5,6.6
VT,2022,Diabetes,,101.7,7.0,,95.2,6.3,,108.1,7.8
VT,2023,Asthma,,,11.4,,,10.2,,,12.6
VT,2023,Cardiovascular Disease,,,28.1,,,26.8,,,29.5
VT,2023,Chronic Obstructive Pulmonary Disease,,,5.4,,,4.8,,,6.2
VT,2023,Diabetes,,,7.8,,,7.0,,,8.7
WA,2019,Asthma,,1.0,10.5,,0.8,9.8,,1.2,11.3
WA,2019,Cardiovascular Disease,20.41,134.8,28.3,20.07,132.4,27.4,20.74,137.3,29.2
WA,2019,Chronic Obstructive Pulmonary Disease,3.91,93.8,4.8,3.76,90.3,4.3,4.05,97.2,5.2
WA,2019,Diabetes,,71.0,8.6,,69.2,8.1,,72.8,9.2
WA,2020,Asthma,,1.3,10.4,,1.1,9.7,,1.6,11.1
WA,2020,Cardiovascular Disease,17.47,134.6,,17.16,132.1,,17.78,137.0,
WA,2020,Chronic Obstructive Pulmonary Disease,2.47,80.4,4.9,2.36,77.2,4.5,2.59,83.5,5.4
WA,2020,Diabetes,,86.3,7.9,,84.4,7.4,,88.3,8.5
WA,2021,Asthma,,1.0,11.2,,0.8,10.5,,1.2,12.0
WA,2021,Cardiovascular Disease,18.75,147.7,27.5,18.43,145.1,26.6,19.07,150.3,28.5
WA,2021,Chronic Obstructive Pulmonary Disease,2.09,80.3,4.7,1.98,77.1,4.3,2.2,83.5,5.1
WA,2021,Diabetes,,98.7,7.9,,96.6,7.4,,100.8,8.5
WA,2022,Asthma,,1.0,10.9,,0.8,10.4,,1.3,11.5
WA,2022,Cardiovascular Disease,18.7,142.7,,18.38,140.3,,19.02,145.2,
WA,2022,Chronic Obstructive Pulmonary Disease,2.3,83.8,4.8,2.19,80.7,4.5,2.42,87.0,5.2
WA,2022,Diabetes,,92.8,8.8,,90.8,8.4,,94.7,9.3
WA,2023,Asthma,,,10.7,,,10.2,,,11.2
WA,2023,Cardiovascular Disease,,,28.3,,,27.6,,,28.9
WA,2023,Chronic Obstructive Pulmonary Disease,,,4.0,,,3.8,,,4.3
WA,2023,Diabetes,,,8.6,,,8.2,,,9.0
WI,2019,Asthma,,1.1,10.9,,0.9,9.7,,1.4,12.2
WI,2019,Cardiovascular Disease,28.98,158.8,27.9,28.49,155.9,26.4,29.46,161.6,29.4
WI,2019,Chronic Obstructive Pulmonary Disease,7.38,101.2,4.9,7.14,97.4,4.2,7.62,105.1,5.8
WI,2019,Diabetes,,77.4,7.5,,75.4,6.7,,79.4,8.4
WI,2020,Asthma,,1.3,10.9,,1.0,9.6,,1.6,12.3
WI,2020,Cardiovascular Disease,25.04,162.2,,24.59,159.4,,25.5,165.1,
WI,2020,Chronic Obstructive Pulmonary Disease,4.48,97.4,4.7,4.29,93.7,4.0,4.67,101.2,5.5
WI,2020,Diabetes,,105.7,7.7,,103.4,6.9,,108.1,8.6
WI,2021,Asthma,,1.0,11.1,,0.8,9.9,,1.3,12.4
WI,2021,Cardiovascular Disease,27.89,171.7,28.0,27.4,168.7,26.6,28.38,174.7,29.5
WI,2021,Chronic Obstructive Pulmonary Disease,4.05,87.9,4.9,3.87,84.3,4.1,4.24,91.5,5.9
WI,2021,Diabetes,,109.1,8.0,,106.7,7.1,,111.5,9.0
WI,2022,Asthma,,1.2,11.1,,1.0,10.3,,1.5,12.1
WI,2022,Cardiovascular Disease,28.46,166.6,,27.97,163.7,,28.96,169.5,
WI,2022,Chronic Obstructive Pulmonary Disease,4.19,92.1,5.8,4.0,88.5,5.3,4.37,95.7,6.5
WI,2022,Diabetes,,96.9,8.9,,94.7,8.3,,99.1,9.6
WI,2023,Asthma,,,11.0,,,10.1,,,11.9
WI,2023,Cardiovascular Disease,,,29.5,,,28.5,,,30.5
WI,2023,Chronic Obstructive Pulmonary Disease,,,5.2,,,4.8,,,5.8
WI,2023,Diabetes,,,9.6,,,9.0,,,10.2
WV,2019,Asthma,,,12.1,,,10.9,,,13.4
WV,2019,Cardiovascular Disease,32.49,197.4,39.0,31.71,191.9,37.4,33.27,202.9,40.7
WV,2019,Chronic Obstructive Pulmonary Disease,14.73,174.4,10.7,14.22,165.9,9.8,15.25,183.0,11.7
WV,2019,Diabetes,,100.9,13.2,,96.9,12.2,,104.9,14.3
WV,2020,Asthma,,,13.5,,,12.4,,,14.8
WV,2020,Cardiovascular Disease,27.99,197.8,,27.25,192.2,,28.73,203.3,
WV,2020,Chronic Obstructive Pulmonary Disease,8.81,167.2,11.9,8.4,158.8,11.0,9.22,175.5,12.9
WV,2020,Diabetes,,120.9,13.3,,116.5,12.3,,125.3,14.2
WV,2021,Asthma,,,13.0,,,11.9,,,14.2
WV,2021,Cardiovascular Disease,29.36,223.0,38.3,28.59,217.0,36.9,30.14,229.0,39.7
WV,2021,Chronic Obstructive Pulmonary Disease,7.8,165.0,11.5,7.4,156.6,10.6,8.19,173.3,12.4
WV,2021,Diabetes,,145.9,13.3,,141.1,12.4,,150.8,14.2
WV,2022,Asthma,,1.0,12.9,,0.6,11.7,,1.6,14.3
WV,2022,Cardiovascular Disease,28.3,209.5,,27.52,203.8,,29.07,215.2,
WV,2022,Chronic Obstructive Pulmonary Disease,7.67,172.8,12.3,7.27,164.3,11.1,8.07,181.3,13.5
WV,2022,Diabetes,,135.3,14.6,,130.7,13.6,,139.9,15.7
WV,2023,Asthma,,,13.9,,,12.5,,,15.4
WV,2023,Cardiovascular Disease,,,39.6,,,37.9,,,41.3
WV,2023,Chronic Obstructive Pulmonary Disease,,,10.8,,,9.7,,,11.9
WV,2023,Diabetes,,,15.1,,,13.9,,,16.3
WY,2019,Asthma,,,10.0,,,8.8,,,11.5
WY,2019,Cardiovascular Disease,10.47,150.4,28.2,9.76,141.2,26.5,11.18,159.6,30.0
WY,2019,Chronic Obstructive Pulmonary Disease,4.36,144.9,6.0,3.92,130.0,5.2,4.81,159.9,7.0
WY,2019,Diabetes,,75.7,6.8,,69.2,6.0,,82.3,7.8
WY,2020,Asthma,,,11.1,,,9.8,,,12.7
WY,2020,Cardiovascular Disease,8.05,160.4,,7.44,151.0,,8.66,169.8,
WY,2020,Chronic Obstructive Pulmonary Disease,2.62,147.6,5.5,2.28,132.7,4.8,2.97,162.6,6.3
WY,2020,Diabetes,,103.6,7.6,,96.1,6.7,,111.1,8.6
WY,2021,Asthma,,,10.0,,,8.7,,,11.5
WY,2021,Cardiovascular Disease,8.66,159.4,27.2,8.02,149.8,25.5,9.29,169.0,29.0
WY,2021,Chronic Obstructive Pulmonary Disease,2.19,134.3,5.6,1.88,119.8,4.8,2.5,148.9,6.6
WY,2021,Diabetes,,115.0,7.7,,107.0,6.8,,123.0,8.6
WY,2022,Asthma,,,10.8,,,9.5,,,12.2
WY,2022,Cardiovascular Disease,10.16,157.1,,9.48,147.8,,10.83,166.4,
WY,2022,Chronic Obstructive Pulmonary Disease,2.56,126.5,6.0,2.23,112.9,5.3,2.89,140.1,6.8
WY,2022,Diabetes,,105.1,8.1,,97.5,7.3,,112.6,9.0
WY,2023,Asthma,,,10.1,,,8.9,,,11.5
WY,2023,Cardiovascular Disease,,,28.1,,,26.5,,,29.7
WY,2023,Chronic Obstructive Pulmonary Disease,,,6.6,,,5.7,,,7.7
WY,2023,Diabetes,,,9.4,,,8.5,,,10.5
