state,condition,strat_category,n_cells,n_suppressed,n_no_data,suppression_share
OH,diabetes,Sex,18,0,0,0.0
OK,asthma,Race/Ethnicity,63,34,0,0.5396825396825397
OK,asthma,Sex,18,2,0,0.1111111111111111
OK,cardiovascular,Race/Ethnicity,90,14,0,0.15555555555555556
OK,cardiovascular,Sex,28,0,0,0.0
OK,copd,Race/Ethnicity,118,46,5,0.40707964601769914
OK,copd,Sex,36,0,0,0.0
OK,diabetes,Race/Ethnicity,63,13,0,0.20634920634920634
OK,diabetes,Sex,18,0,0,0.0
OR,asthma,Race/Ethnicity,63,40,0,0.6349206349206349
OR,asthma,Sex,18,1,0,0.05555555555555555
OR,cardiovascular,Race/Ethnicity,90,17,0,0.18888888888888888
OR,cardiovascular,Sex,28,0,0,0.0
OR,copd,Race/Ethnicity,118,76,5,0.672566371681416
OR,copd,Sex,36,0,0,0.0
OR,diabetes,Race/Ethnicity,63,21,0,0.3333333333333333
OR,diabetes,Sex,18,0,0,0.0
PA,asthma,Race/Ethnicity,63,36,7,0.6428571428571429
PA,asthma,Sex,18,0,2,0.0
PA,cardiovascular,Race/Ethnicity,90,24,14,0.3157894736842105
PA,cardiovascular,Sex,28,0,4,0.0
PA,copd,Race/Ethnicity,118,51,18,0.51
PA,copd,Sex,36,0,4,0.0
PA,diabetes,Race/Ethnicity,63,24,7,0.42857142857142855
PA,diabetes,Sex,18,0,2,0.0
PR,asthma,Race/Ethnicity,35,22,8,0.8148148148148148
PR,asthma,Sex,10,0,0,0.0
PR,cardiovascular,Race/Ethnicity,42,18,18,0.75
PR,cardiovascular,Sex,12,0,0,0.0
PR,copd,Race/Ethnicity,70,33,29,0.8048780487804879
PR,copd,Sex,20,7,0,0.35
PR,diabetes,Race/Ethnicity,35,22,8,0.8148148148148148
PR,diabetes,Sex,10,0,0,0.0
RI,asthma,Race/Ethnicity,63,44,0,0.6984126984126984
RI,asthma,Sex,18,8,0,0.4444444444444444
RI,cardiovascular,Race/Ethnicity,90,34,0,0.37777777777777777
RI,cardiovascular,Sex,28,0,0,0.0
RI,copd,Race/Ethnicity,118,83,3,0.7217391304347827
RI,copd,Sex,36,0,0,0.0
RI,diabetes,Race/Ethnicity,63,26,0,0.4126984126984127
RI,diabetes,Sex,18,0,0,0.0
SC,asthma,Race/Ethnicity,63,39,0,0.6190476190476191
SC,asthma,Sex,18,1,0,0.05555555555555555
SC,cardiovascular,Race/Ethnicity,90,29,0,0.32222222222222224
SC,cardiovascular,Sex,28,0,0,0.0
SC,copd,Race/Ethnicity,118,66,6,0.5892857142857143
SC,copd,Sex,36,0,0,0.0
SC,diabetes,Race/Ethnicity,63,25,0,0.3968253968253968
SC,diabetes,Sex,18,0,0,0.0
SD,asthma,Race/Ethnicity,63,51,0,0.8095238095238095
SD,asthma,Sex,18,8,0,0.4444444444444444
SD,cardiovascular,Race/Ethnicity,90,50,0,0.5555555555555556
SD,cardiovascular,Sex,28,0,0,0.0
SD,copd,Race/Ethnicity,118,77,7,0.6936936936936937
SD,copd,Sex,36,0,0,0.0
SD,diabetes,Race/Ethnicity,63,40,0,0.6349206349206349
SD,diabetes,Sex,18,0,0,0.0
TN,asthma,Race/Ethnicity,63,38,0,0.6031746031746031
TN,asthma,Sex,18,0,0,0.0
TN,cardiovascular,Race/Ethnicity,90,32,1,0.3595505617977528
TN,cardiovascular,Sex,28,0,0,0.0
TN,copd,Race/Ethnicity,118,72,4,0.631578947368421
TN,copd,Sex,36,0,0,0.0
TN,diabetes,Race/Ethnicity,63,29,0,0.4603174603174603
TN,diabetes,Sex,18,0,0,0.0
TX,asthma,Race/Ethnicity,63,32,0,0.5079365079365079
TX,asthma,Sex,18,0,0,0.0
TX,cardiovascular,Race/Ethnicity,90,9,0,0.1
TX,cardiovascular,Sex,28,0,0,0.0
TX,copd,Race/Ethnicity,118,48,3,0.41739130434782606
TX,copd,Sex,36,0,0,0.0
TX,diabetes,Race/Ethnicity,63,14,0,0.2222222222222222
TX,diabetes,Sex,18,0,0,0.0
UT,asthma,Race/Ethnicity,63,43,0,0.6825396825396826
UT,asthma,Sex,18,8,0,0.4444444444444444
UT,cardiovascular,Race/Ethnicity,90,22,0,0.24444444444444444
UT,cardiovascular,Sex,28,0,0,0.0
UT,copd,Race/Ethnicity,118,84,2,0.7241379310344828
UT,copd,Sex,36,0,0,0.0
UT,diabetes,Race/Ethnicity,63,21,0,0.3333333333333333
UT,diabetes,Sex,18,0,0,0.0
VA,asthma,Race/Ethnicity,63,33,0,0.5238095238095238
VA,asthma,Sex,18,0,0,0.0
VA,cardiovascular,Race/Ethnicity,90,20,0,0.2222222222222222
VA,cardiovascular,Sex,28,0,0,0.0
VA,copd,Race/Ethnicity,118,59,2,0.5086206896551724
VA,copd,Sex,36,0,0,0.0
VA,diabetes,Race/Ethnicity,63,22,0,0.3492063492063492
VA,diabetes,Sex,18,0,0,0.0
VI,asthma,Race/Ethnicity,35,18,14,0.8571428571428571
VI,asthma,Sex,10,2,4,0.3333333333333333
VI,cardiovascular,Race/Ethnicity,42,15,14,0.5357142857142857
VI,cardiovascular,Sex,12,0,4,0.0
VI,copd,Race/Ethnicity,70,36,33,0.972972972972973
VI,copd,Sex,20,10,8,0.8333333333333334
VI,diabetes,Race/Ethnicity,35,15,14,0.7142857142857143
VI,diabetes,Sex,10,0,4,0.0
VT,asthma,Race/Ethnicity,63,49,0,0.7777777777777778
VT,asthma,Sex,18,8,0,0.4444444444444444
VT,cardiovascular,Race/Ethnicity,90,63,3,0.7241379310344828
VT,cardiovascular,Sex,28,0,0,0.0
VT,copd,Race/Ethnicity,118,91,6,0.8125
VT,copd,Sex,36,0,0,0.0
VT,diabetes,Race/Ethnicity,63,50,0,0.7936507936507936
VT,diabetes,Sex,18,0,0,0.0
WA,asthma,Race/Ethnicity,63,28,0,0.4444444444444444
WA,asthma,Sex,18,0,0,0.0
WA,cardiovascular,Race/Ethnicity,90,3,0,0.03333333333333333
WA,cardiovascular,Sex,28,0,0,0.0
WA,copd,Race/Ethnicity,118,42,0,0.3559322033898305
WA,copd,Sex,36,0,0,0.0
WA,diabetes,Race/Ethnicity,63,2,0,0.031746031746031744
WA,diabetes,Sex,18,0,0,0.0
WI,asthma,Race/Ethnicity,63,38,0,0.6031746031746031
WI,asthma,Sex,18,0,0,0.0
WI,cardiovascular,Race/Ethnicity,90,20,1,0.2247191011235955
WI,cardiovascular,Sex,28,0,0,0.0
WI,copd,Race/Ethnicity,118,62,6,0.5535714285714286
WI,copd,Sex,36,0,0,0.0
WI,diabetes,Race/Ethnicity,63,22,0,0.3492063492063492
WI,diabetes,Sex,18,0,0,0.0
WV,asthma,Race/Ethnicity,63,48,1,0.7741935483870968
WV,asthma,Sex,18,8,0,0.4444444444444444
WV,cardiovascular,Race/Ethnicity,90,53,1,0.5955056179775281
WV,cardiovascular,Sex,28,0,0,0.0
WV,copd,Race/Ethnicity,118,81,7,0.7297297297297297
WV,copd,Sex,36,0,0,0.0
WV,diabetes,Race/Ethnicity,63,39,1,0.6290322580645161
WV,diabetes,Sex,18,0,0,0.0
WY,asthma,Race/Ethnicity,63,50,0,0.7936507936507936
WY,asthma,Sex,18,8,0,0.4444444444444444
WY,cardiovascular,Race/Ethnicity,90,53,2,0.6022727272727273
WY,cardiovascular,Sex,28,0,0,0.0
WY,copd,Race/Ethnicity,118,91,7,0.8198198198198198
WY,copd,Sex,36,0,0,0.0
WY,diabetes,Race/Ethnicity,63,36,0,0.5714285714285714
WY,diabetes,Sex,18,0,0,0.0
