condition,instrument,measure,strat_category,strat_group,n_cells,n_suppressed,n_no_data,n_reported,median_value,median_ci_width,median_ci_rel_width,n_states_any_suppressed,suppression_share
diabetes,brfss,prevalence,Race/Ethnicity,Hispanic,270,39,6,225,14.2,8.100000000000001,0.5785714285714286,15,0.14772727272727273
diabetes,brfss,prevalence,Race/Ethnicity,"Multiracial, non-Hispanic",270,97,7,166,12.8,11.849999999999998,0.9278680770553835,41,0.3688212927756654
diabetes,brfss,prevalence,Race/Ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",270,244,11,15,19.4,10.399999999999999,0.5038759689922481,52,0.9420849420849421
diabetes,brfss,prevalence,Race/Ethnicity,"White, non-Hispanic",270,9,6,255,8.3,1.7999999999999998,0.21794871794871787,3,0.03409090909090909
diabetes,brfss,prevalence,Sex,Female,270,0,6,264,9.2,2.4000000000000004,0.2489669421487603,0,0.0
diabetes,brfss,prevalence,Sex,Male,270,0,6,264,10.6,2.5999999999999996,0.2422117624223602,0,0.0
diabetes,nvss,mortality,Overall,Overall,204,0,0,204,87.9,5.299999999999997,0.05447839981738291,0,0.0
diabetes,nvss,mortality,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",204,102,0,102,177.60000000000002,76.6,0.5089221764829298,27,0.5
diabetes,nvss,mortality,Race/Ethnicity,"Asian, non-Hispanic",204,52,0,152,57.75,22.5,0.3953676325645575,18,0.2549019607843137
diabetes,nvss,mortality,Race/Ethnicity,"Black, non-Hispanic",204,41,0,163,146.3,19.69999999999999,0.14532685035116158,11,0.20098039215686275
diabetes,nvss,mortality,Race/Ethnicity,Hispanic,204,28,0,176,86.5,24.25,0.30141020667135454,10,0.13725490196078433
diabetes,nvss,mortality,Race/Ethnicity,"Multiracial, non-Hispanic",204,130,0,74,50.75,30.799999999999997,0.6561415899790191,39,0.6372549019607843
diabetes,nvss,mortality,Race/Ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",204,169,0,35,215.4,132.89999999999998,0.6942193408968124,44,0.8284313725490197
diabetes,nvss,mortality,Race/Ethnicity,"White, non-Hispanic",204,0,0,204,79.25,5.700000000000003,0.06548967355096597,0,0.0
diabetes,nvss,mortality,Sex,Female,204,0,0,204,68.19999999999999,6.299999999999997,0.08276255707762559,0,0.0
diabetes,nvss,mortality,Sex,Male,204,0,0,204,111.9,8.899999999999991,0.0733685720049293,0,0.0
