state,year,condition,brfss_prevalence_aa,brfss_prevalence_lo,brfss_prevalence_hi,nvss_mortality_aa,nvss_mortality_lo,nvss_mortality_hi,cms_hospitalization_aa,cms_hospitalization_lo,cms_hospitalization_hi,brfss_treatment_rate,brfss_treatment_lo,brfss_treatment_hi,brfss_treatment_question,n_suppressed
NJ,2022,copd,4.9,4.2,5.7,58.9,56.6,61.2,6.54,6.37,6.7,67.1,56.5,76.1,COPD02,0
NJ,2023,copd,3.9,3.4,4.4,,,,,,,79.6,71.7,85.8,COPD02,0
NM,2019,copd,5.0,4.3,5.7,111.3,104.6,118.0,5.87,5.53,6.2,65.5,56.4,73.6,COPD02,0
NM,2020,copd,4.3,3.7,4.9,113.1,106.4,119.8,3.43,3.17,3.69,67.6,55.4,77.8,COPD02,0
NM,2021,copd,4.8,4.2,5.4,101.9,95.5,108.4,3.29,3.04,3.55,52.7,44.2,61.0,COPD02,0
NM,2022,copd,4.8,4.1,5.6,107.3,100.9,113.8,3.82,3.54,4.1,60.5,48.1,71.7,COPD02,0
NM,2023,copd,4.2,3.5,5.1,,,,,,,62.9,46.7,76.6,COPD02,0
NV,2019,copd,7.3,6.2,8.7,132.8,126.2,139.3,7.39,7.06,7.73,59.6,48.2,70.1,COPD02,0
NV,2020,copd,6.5,5.4,7.8,123.7,117.5,129.9,4.61,4.35,4.88,71.8,61.1,80.4,COPD02,0
NV,2021,copd,6.1,5.2,7.3,111.6,105.6,117.6,3.92,3.67,4.16,63.0,50.8,73.7,COPD02,0
NV,2022,copd,6.5,5.5,7.7,118.9,113.0,124.9,4.47,4.2,4.73,67.5,55.7,77.5,COPD02,0
NV,2023,copd,6.5,5.1,8.1,,,,,,,57.8,46.2,68.6,COPD02,0
NY,2019,copd,5.2,4.8,5.7,74.4,72.6,76.2,11.21,11.05,11.37,62.9,55.3,69.9,COPD02,0
NY,2020,copd,4.4,4.0,4.8,67.8,66.1,69.5,6.14,6.03,6.26,69.3,63.0,75.0,COPD02,0
NY,2021,copd,4.9,4.5,5.3,60.9,59.3,62.5,6.31,6.19,6.43,67.0,61.8,71.9,COPD02,0
NY,2022,copd,4.6,4.2,5.1,60.6,59.0,62.2,6.83,6.71,6.96,67.4,59.3,74.6,COPD02,0
NY,2023,copd,4.6,4.2,5.0,,,,,,,74.5,68.8,79.6,COPD02,0
OH,2019,copd,8.1,7.5,8.8,127.4,124.4,130.4,12.59,12.37,12.81,52.7,45.5,59.7,COPD02,0
OH,2020,copd,7.1,6.6,7.6,123.4,120.5,126.4,7.92,7.75,8.09,49.9,43.6,56.2,COPD02,0
OH,2021,copd,7.8,7.2,8.4,115.5,112.6,118.5,7.7,7.53,7.88,53.8,47.1,60.3,COPD02,0
